Player,Pos,Age,Tm,G,GS,MP,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Kenrich Williams,PF,29,OKC,69,1,14.9,0.468,0.397,0.54,0.5,3,1.3,0.6,0.1,0.5,1.5,4.7
Malik Williams,C,25,TOR,7,2,15.3,0.265,0.2,0.276,0,5.4,0.3,0.4,0.6,0.4,2.1,2.7
Mark Williams,C,22,CHO,19,19,26.7,0.649,0,0.649,0.719,9.7,1.2,0.8,1.1,0.9,2.6,12.7
Patrick Williams,PF,22,CHI,43,30,27.3,0.443,0.399,0.474,0.788,3.9,1.5,0.9,0.8,1.3,2,10
Robert Williams,C,26,POR,6,0,19.8,0.654,0,0.654,0.778,6.3,0.8,1.2,1.2,1.2,2.8,6.8
Vince Williams Jr.,SG,23,MEM,52,33,27.6,0.446,0.378,0.529,0.8,5.6,3.4,0.9,0.7,1.8,2.6,10
Ziaire Williams,SF,22,MEM,51,15,20.4,0.397,0.307,0.487,0.827,3.5,1.5,0.7,0.2,1.3,1.7,8.2
Zion Williamson,PF,23,NOP,70,70,31.5,0.57,0.333,0.574,0.702,5.8,5,1.1,0.7,2.8,2.3,22.9
D.J. Wilson,PF,27,PHI,2,0,7.5,0.667,1,0.5,0,1,1,0,1,0,0.5,5
Jalen Wilson,PF,23,BRK,43,3,15.4,0.425,0.324,0.495,0.826,3,1,0.3,0.1,0.4,1.1,5
Dylan Windler,SF,27,TOT,17,0,6.4,0.5,0.481,0.667,0,0.9,0.6,0.1,0,0.1,0.4,2.5
Dylan Windler,SF,27,NYK,3,0,2.3,0.5,0.5,0,0,0.3,0.3,0,0,0,0.3,1
Dylan Windler,SF,27,LAL,8,0,3.5,0.444,0.5,0,0,0.4,0.8,0,0,0,0.3,1.5
Dylan Windler,SF,27,ATL,6,0,12.2,0.526,0.471,1,0,2,0.5,0.3,0,0.3,0.5,4.7
James Wiseman,C,22,DET,63,6,17.3,0.613,0,0.617,0.706,5.3,0.9,0.2,0.6,1,2.2,7.1
Isaiah Wong,SG,23,IND,1,0,4,0.333,0,0.5,0,0,0,0,0,0,0,2
Christian Wood,PF,28,LAL,50,1,17.4,0.466,0.307,0.587,0.702,5.1,1,0.3,0.7,1,1.4,6.9
Delon Wright,PG,31,TOT,47,1,15.8,0.394,0.368,0.408,0.822,1.8,2.5,1.1,0.2,0.3,0.7,4.5
Delon Wright,PG,31,WAS,33,0,13.8,0.393,0.368,0.405,0.828,1.8,2.5,1.1,0.2,0.3,0.7,4.1
Delon Wright,PG,31,MIA,14,1,20.4,0.394,0.367,0.417,0.813,1.9,2.6,1.4,0.2,0.2,0.7,5.4
Thaddeus Young,PF,35,TOT,33,6,13.3,0.602,0.143,0.634,0.4,3.1,1.7,0.7,0.2,0.5,1.5,4.2
Thaddeus Young,PF,35,TOR,23,6,15.2,0.621,0.167,0.654,0.417,3.3,2.2,0.8,0.1,0.5,1.7,5
Thaddeus Young,PF,35,PHO,10,0,8.9,0.524,0,0.55,0.333,2.8,0.7,0.5,0.2,0.4,1.1,2.3
Trae Young,PG,25,ATL,54,54,36,0.43,0.373,0.479,0.855,2.8,10.8,1.3,0.2,4.4,2,25.7
Omer Yurtseven,C,25,UTA,48,12,11.4,0.538,0.208,0.588,0.679,4.3,0.6,0.2,0.4,0.8,1.1,4.6
Cody Zeller,C,31,NOP,43,0,7.4,0.419,0.333,0.424,0.605,2.6,0.9,0.2,0.1,0.4,1,1.8
Ivica Zubac,C,26,LAC,68,68,26.4,0.649,0,0.649,0.723,9.2,1.4,0.3,1.2,1.2,2.6,11.7
